input_index,swizzled_index
0,0
1,2
2,16
3,18
4,256
5,258
6,272
7,274
8,512
9,514
10,528
11,530
12,768
13,770
14,784
15,786
16,1024
17,1026
18,1040
19,1042
20,1280
21,1282
22,1296
23,1298
24,1536
25,1538
26,1552
27,1554
28,1792
29,1794
30,1808
31,1810
32,2048
33,2050
34,2064
35,2066
36,2304
37,2306
38,2320
39,2322
40,2560
41,2562
42,2576
43,2578
44,2816
45,2818
46,2832
47,2834
48,3072
49,3074
50,3088
51,3090
52,3328
53,3330
54,3344
55,3346
56,3584
57,3586
58,3600
59,3602
60,3840
61,3842
62,3856
63,3858
64,4096
65,4098
66,4112
67,4114
68,4352
69,4354
70,4368
71,4370
72,4608
73,4610
74,4624
75,4626
76,4864
77,4866
78,4880
79,4882
80,1
81,3
82,17
83,19
84,257
85,259
86,273
87,275
88,513
89,515
90,529
91,531
92,769
93,771
94,785
95,787
96,1025
97,1027
98,1041
99,1043
100,1281
101,1283
102,1297
103,1299
104,1537
105,1539
106,1553
107,1555
108,1793
109,1795
110,1809
111,1811
112,2049
113,2051
114,2065
115,2067
116,2305
117,2307
118,2321
119,2323
120,2561
121,2563
122,2577
123,2579
124,2817
125,2819
126,2833
127,2835
128,3073
129,3075
130,3089
131,3091
132,3329
133,3331
134,3345
135,3347
136,3585
137,3587
138,3601
139,3603
140,3841
141,3843
142,3857
143,3859
144,4097
145,4099
146,4113
147,4115
148,4353
149,4355
150,4369
151,4371
152,4609
153,4611
154,4625
155,4627
156,4865
157,4867
158,4881
159,4883
160,4
161,6
162,20
163,22
164,260
165,262
166,276
167,278
168,516
169,518
170,532
171,534
172,772
173,774
174,788
175,790
176,1028
177,1030
178,1044
179,1046
180,1284
181,1286
182,1300
183,1302
184,1540
185,1542
186,1556
187,1558
188,1796
189,1798
190,1812
191,1814
192,2052
193,2054
194,2068
195,2070
196,2308
197,2310
198,2324
199,2326
200,2564
201,2566
202,2580
203,2582
204,2820
205,2822
206,2836
207,2838
208,3076
209,3078
210,3092
211,3094
212,3332
213,3334
214,3348
215,3350
216,3588
217,3590
218,3604
219,3606
220,3844
221,3846
222,3860
223,3862
224,4100
225,4102
226,4116
227,4118
228,4356
229,4358
230,4372
231,4374
232,4612
233,4614
234,4628
235,4630
236,4868
237,4870
238,4884
239,4886
240,5
241,7
242,21
243,23
244,261
245,263
246,277
247,279
248,517
249,519
250,533
251,535
252,773
253,775
254,789
255,791
256,1029
257,1031
258,1045
259,1047
260,1285
261,1287
262,1301
263,1303
264,1541
265,1543
266,1557
267,1559
268,1797
269,1799
270,1813
271,1815
272,2053
273,2055
274,2069
275,2071
276,2309
277,2311
278,2325
279,2327
280,2565
281,2567
282,2581
283,2583
284,2821
285,2823
286,2837
287,2839
288,3077
289,3079
290,3093
291,3095
292,3333
293,3335
294,3349
295,3351
296,3589
297,3591
298,3605
299,3607
300,3845
301,3847
302,3861
303,3863
304,4101
305,4103
306,4117
307,4119
308,4357
309,4359
310,4373
311,4375
312,4613
313,4615
314,4629
315,4631
316,4869
317,4871
318,4885
319,4887
320,8
321,10
322,24
323,26
324,264
325,266
326,280
327,282
328,520
329,522
330,536
331,538
332,776
333,778
334,792
335,794
336,1032
337,1034
338,1048
339,1050
340,1288
341,1290
342,1304
343,1306
344,1544
345,1546
346,1560
347,1562
348,1800
349,1802
350,1816
351,1818
352,2056
353,2058
354,2072
355,2074
356,2312
357,2314
358,2328
359,2330
360,2568
361,2570
362,2584
363,2586
364,2824
365,2826
366,2840
367,2842
368,3080
369,3082
370,3096
371,3098
372,3336
373,3338
374,3352
375,3354
376,3592
377,3594
378,3608
379,3610
380,3848
381,3850
382,3864
383,3866
384,4104
385,4106
386,4120
387,4122
388,4360
389,4362
390,4376
391,4378
392,4616
393,4618
394,4632
395,4634
396,4872
397,4874
398,4888
399,4890
400,9
401,11
402,25
403,27
404,265
405,267
406,281
407,283
408,521
409,523
410,537
411,539
412,777
413,779
414,793
415,795
416,1033
417,1035
418,1049
419,1051
420,1289
421,1291
422,1305
423,1307
424,1545
425,1547
426,1561
427,1563
428,1801
429,1803
430,1817
431,1819
432,2057
433,2059
434,2073
435,2075
436,2313
437,2315
438,2329
439,2331
440,2569
441,2571
442,2585
443,2587
444,2825
445,2827
446,2841
447,2843
448,3081
449,3083
450,3097
451,3099
452,3337
453,3339
454,3353
455,3355
456,3593
457,3595
458,3609
459,3611
460,3849
461,3851
462,3865
463,3867
464,4105
465,4107
466,4121
467,4123
468,4361
469,4363
470,4377
471,4379
472,4617
473,4619
474,4633
475,4635
476,4873
477,4875
478,4889
479,4891
480,12
481,14
482,28
483,30
484,268
485,270
486,284
487,286
488,524
489,526
490,540
491,542
492,780
493,782
494,796
495,798
496,1036
497,1038
498,1052
499,1054
500,1292
501,1294
502,1308
503,1310
504,1548
505,1550
506,1564
507,1566
508,1804
509,1806
510,1820
511,1822
512,2060
513,2062
514,2076
515,2078
516,2316
517,2318
518,2332
519,2334
520,2572
521,2574
522,2588
523,2590
524,2828
525,2830
526,2844
527,2846
528,3084
529,3086
530,3100
531,3102
532,3340
533,3342
534,3356
535,3358
536,3596
537,3598
538,3612
539,3614
540,3852
541,3854
542,3868
543,3870
544,4108
545,4110
546,4124
547,4126
548,4364
549,4366
550,4380
551,4382
552,4620
553,4622
554,4636
555,4638
556,4876
557,4878
558,4892
559,4894
560,13
561,15
562,29
563,31
564,269
565,271
566,285
567,287
568,525
569,527
570,541
571,543
572,781
573,783
574,797
575,799
576,1037
577,1039
578,1053
579,1055
580,1293
581,1295
582,1309
583,1311
584,1549
585,1551
586,1565
587,1567
588,1805
589,1807
590,1821
591,1823
592,2061
593,2063
594,2077
595,2079
596,2317
597,2319
598,2333
599,2335
600,2573
601,2575
602,2589
603,2591
604,2829
605,2831
606,2845
607,2847
608,3085
609,3087
610,3101
611,3103
612,3341
613,3343
614,3357
615,3359
616,3597
617,3599
618,3613
619,3615
620,3853
621,3855
622,3869
623,3871
624,4109
625,4111
626,4125
627,4127
628,4365
629,4367
630,4381
631,4383
632,4621
633,4623
634,4637
635,4639
636,4877
637,4879
638,4893
639,4895
640,32
641,34
642,48
643,50
644,288
645,290
646,304
647,306
648,544
649,546
650,560
651,562
652,800
653,802
654,816
655,818
656,1056
657,1058
658,1072
659,1074
660,1312
661,1314
662,1328
663,1330
664,1568
665,1570
666,1584
667,1586
668,1824
669,1826
670,1840
671,1842
672,2080
673,2082
674,2096
675,2098
676,2336
677,2338
678,2352
679,2354
680,2592
681,2594
682,2608
683,2610
684,2848
685,2850
686,2864
687,2866
688,3104
689,3106
690,3120
691,3122
692,3360
693,3362
694,3376
695,3378
696,3616
697,3618
698,3632
699,3634
700,3872
701,3874
702,3888
703,3890
704,4128
705,4130
706,4144
707,4146
708,4384
709,4386
710,4400
711,4402
712,4640
713,4642
714,4656
715,4658
716,4896
717,4898
718,4912
719,4914
720,33
721,35
722,49
723,51
724,289
725,291
726,305
727,307
728,545
729,547
730,561
731,563
732,801
733,803
734,817
735,819
736,1057
737,1059
738,1073
739,1075
740,1313
741,1315
742,1329
743,1331
744,1569
745,1571
746,1585
747,1587
748,1825
749,1827
750,1841
751,1843
752,2081
753,2083
754,2097
755,2099
756,2337
757,2339
758,2353
759,2355
760,2593
761,2595
762,2609
763,2611
764,2849
765,2851
766,2865
767,2867
768,3105
769,3107
770,3121
771,3123
772,3361
773,3363
774,3377
775,3379
776,3617
777,3619
778,3633
779,3635
780,3873
781,3875
782,3889
783,3891
784,4129
785,4131
786,4145
787,4147
788,4385
789,4387
790,4401
791,4403
792,4641
793,4643
794,4657
795,4659
796,4897
797,4899
798,4913
799,4915
800,36
801,38
802,52
803,54
804,292
805,294
806,308
807,310
808,548
809,550
810,564
811,566
812,804
813,806
814,820
815,822
816,1060
817,1062
818,1076
819,1078
820,1316
821,1318
822,1332
823,1334
824,1572
825,1574
826,1588
827,1590
828,1828
829,1830
830,1844
831,1846
832,2084
833,2086
834,2100
835,2102
836,2340
837,2342
838,2356
839,2358
840,2596
841,2598
842,2612
843,2614
844,2852
845,2854
846,2868
847,2870
848,3108
849,3110
850,3124
851,3126
852,3364
853,3366
854,3380
855,3382
856,3620
857,3622
858,3636
859,3638
860,3876
861,3878
862,3892
863,3894
864,4132
865,4134
866,4148
867,4150
868,4388
869,4390
870,4404
871,4406
872,4644
873,4646
874,4660
875,4662
876,4900
877,4902
878,4916
879,4918
880,37
881,39
882,53
883,55
884,293
885,295
886,309
887,311
888,549
889,551
890,565
891,567
892,805
893,807
894,821
895,823
896,1061
897,1063
898,1077
899,1079
900,1317
901,1319
902,1333
903,1335
904,1573
905,1575
906,1589
907,1591
908,1829
909,1831
910,1845
911,1847
912,2085
913,2087
914,2101
915,2103
916,2341
917,2343
918,2357
919,2359
920,2597
921,2599
922,2613
923,2615
924,2853
925,2855
926,2869
927,2871
928,3109
929,3111
930,3125
931,3127
932,3365
933,3367
934,3381
935,3383
936,3621
937,3623
938,3637
939,3639
940,3877
941,3879
942,3893
943,3895
944,4133
945,4135
946,4149
947,4151
948,4389
949,4391
950,4405
951,4407
952,4645
953,4647
954,4661
955,4663
956,4901
957,4903
958,4917
959,4919
960,40
961,42
962,56
963,58
964,296
965,298
966,312
967,314
968,552
969,554
970,568
971,570
972,808
973,810
974,824
975,826
976,1064
977,1066
978,1080
979,1082
980,1320
981,1322
982,1336
983,1338
984,1576
985,1578
986,1592
987,1594
988,1832
989,1834
990,1848
991,1850
992,2088
993,2090
994,2104
995,2106
996,2344
997,2346
998,2360
999,2362
1000,2600
1001,2602
1002,2616
1003,2618
1004,2856
1005,2858
1006,2872
1007,2874
1008,3112
1009,3114
1010,3128
1011,3130
1012,3368
1013,3370
1014,3384
1015,3386
1016,3624
1017,3626
1018,3640
1019,3642
1020,3880
1021,3882
1022,3896
1023,3898
1024,4136
1025,4138
1026,4152
1027,4154
1028,4392
1029,4394
1030,4408
1031,4410
1032,4648
1033,4650
1034,4664
1035,4666
1036,4904
1037,4906
1038,4920
1039,4922
1040,41
1041,43
1042,57
1043,59
1044,297
1045,299
1046,313
1047,315
1048,553
1049,555
1050,569
1051,571
1052,809
1053,811
1054,825
1055,827
1056,1065
1057,1067
1058,1081
1059,1083
1060,1321
1061,1323
1062,1337
1063,1339
1064,1577
