input_index,swizzled_index
0,0
1,2
2,16
3,18
4,64
5,66
6,80
7,82
8,128
9,130
10,144
11,146
12,192
13,194
14,208
15,210
16,1
17,3
18,17
19,19
20,65
21,67
22,81
23,83
24,129
25,131
26,145
27,147
28,193
29,195
30,209
31,211
32,4
33,6
34,20
35,22
36,68
37,70
38,84
39,86
40,132
41,134
42,148
43,150
44,196
45,198
46,212
47,214
48,5
49,7
50,21
51,23
52,69
53,71
54,85
55,87
56,133
57,135
58,149
59,151
60,197
61,199
62,213
63,215
64,8
65,10
66,24
67,26
68,72
69,74
70,88
71,90
72,136
73,138
74,152
75,154
76,200
77,202
78,216
79,218
80,9
81,11
82,25
83,27
84,73
85,75
86,89
87,91
88,137
89,139
90,153
91,155
92,201
93,203
94,217
95,219
96,12
97,14
98,28
99,30
100,76
101,78
102,92
103,94
104,140
105,142
106,156
107,158
108,204
109,206
110,220
111,222
112,13
113,15
114,29
115,31
116,77
117,79
118,93
119,95
120,141
121,143
122,157
123,159
124,205
125,207
126,221
127,223
128,32
129,34
130,48
131,50
132,96
133,98
134,112
135,114
136,160
137,162
138,176
139,178
140,224
141,226
142,240
143,242
144,33
145,35
146,49
147,51
148,97
149,99
150,113
151,115
152,161
153,163
154,177
155,179
156,225
157,227
158,241
159,243
160,36
161,38
162,52
163,54
164,100
165,102
166,116
167,118
168,164
169,166
170,180
171,182
172,228
173,230
174,244
175,246
176,37
177,39
178,53
179,55
180,101
181,103
182,117
183,119
184,165
185,167
186,181
187,183
188,229
189,231
190,245
191,247
192,40
193,42
194,56
195,58
196,104
197,106
198,120
199,122
200,168
201,170
202,184
203,186
204,232
205,234
206,248
207,250
208,41
209,43
210,57
211,59
212,105
213,107
214,121
215,123
216,169
217,171
218,185
219,187
220,233
221,235
222,249
223,251
224,44
225,46
226,60
227,62
228,108
229,110
230,124
231,126
232,172
233,174
234,188
235,190
236,236
237,238
238,252
239,254
240,45
241,47
242,61
243,63
244,109
245,111
246,125
247,127
248,173
249,175
250,189
251,191
252,237
253,239
254,253
255,255
